st_x|st_y|count
-9336757.203480976|5070238.795691526|2
-9334058.819024146|5070582.459785415|2
-9333532.166513203|5069494.083780627|3
-9333523.594912412|5069407.286073318|3
-9333898.07367944|5069508.030835478|3
-9336747.630004765|5069488.7423607055|3
-9335664.713998329|5068412.506575111|2
-9330057.105969109|5069531.028682727|2
-9327060.830554916|5068470.36566053|2
-9327060.719235426|5068695.425966773|2
-9328692.440331474|5069543.343681537|2
-9329221.096593251|5070616.5894440925|2
-9328152.318162145|5071703.904865054|3
-9328145.082395244|5070443.4197718315|3
-9324892.772152228|5071729.430870517|3
-9324892.660832737|5071717.113080376|3
-9323265.28119683|5071709.989546267|3
-9323835.570948163|5071717.113080376|2
-9324898.226807278|5068483.569449158|3
-9321617.196135635|5068137.6064813975|2
-9321635.786490599|5069559.071293236|3
-9321642.131701572|5069559.071293236|2
-9318401.843963563|5071702.272390256|2
-9317033.393463241|5069523.906762882|2
-9318403.179797452|5068992.151598984|2
-9318403.402436433|5068467.695233567|2
-9318400.1741712|5068012.991641543|2
-9318400.953407636|5068131.375701179|2
-9316555.721528247|5068421.259593965|2
-9316219.759305032|5068412.654931302|5
-9315416.923137432|5068148.732884644|3
-9315279.109607829|5068275.426434436|2
-9315292.579266215|5068275.426434436|2
-9315286.23405524|5068203.326622506|5
-9314608.966273254|5067997.266549914|2
-9314608.854953762|5068154.518619403|4
-9314608.854953762|5068168.612090386|2
-9314965.522602264|5068274.387955954|2
-9314776.502106898|5068156.2988461815|4
-9314988.565736858|5068140.573521005|2
-9315139.626285864|5068274.684664081|2
-9315082.853345562|5068407.462466162|2
-9315082.296748107|5068548.253438798|2
-9314947.82280323|5068674.210433633|2
-9314819.248791361|5068678.809601191|2
-9314964.85468532|5068406.869041749|2
-9314612.63981645|5068405.088768742|3
-9314434.083353218|5068404.643700542|2
-9315519.893666415|5068840.820386299|2
-9315356.36533444|5068805.361749317|2
-9315376.736801255|5068544.841199153|3
-9315376.848120747|5068408.797671214|5
-9315513.882413913|5068545.434632052|3
-9315541.71228661|5068648.395791894|3
-9315784.388776539|5068572.732584684|3
-9315749.43445643|5068410.132876455|3
